Subnet Calculation Results
------------------------------------------------------------------------
Subnet    Network Address   Host Range                      Broadcast Address
61        172.16.30.0       172.16.30.1 - 172.16.30.126         172.16.30.127
62        172.16.30.128     172.16.30.129 - 172.16.30.254         172.16.30.255
63        172.16.31.0       172.16.31.1 - 172.16.31.126         172.16.31.127
64        172.16.31.128     172.16.31.129 - 172.16.31.254         172.16.31.255
65        172.16.32.0       172.16.32.1 - 172.16.32.126         172.16.32.127
66        172.16.32.128     172.16.32.129 - 172.16.32.254         172.16.32.255
67        172.16.33.0       172.16.33.1 - 172.16.33.126         172.16.33.127
68        172.16.33.128     172.16.33.129 - 172.16.33.254         172.16.33.255
69        172.16.34.0       172.16.34.1 - 172.16.34.126         172.16.34.127
70        172.16.34.128     172.16.34.129 - 172.16.34.254         172.16.34.255
71        172.16.35.0       172.16.35.1 - 172.16.35.126         172.16.35.127
72        172.16.35.128     172.16.35.129 - 172.16.35.254         172.16.35.255
73        172.16.36.0       172.16.36.1 - 172.16.36.126         172.16.36.127
74        172.16.36.128     172.16.36.129 - 172.16.36.254         172.16.36.255
75        172.16.37.0       172.16.37.1 - 172.16.37.126         172.16.37.127
76        172.16.37.128     172.16.37.129 - 172.16.37.254         172.16.37.255
77        172.16.38.0       172.16.38.1 - 172.16.38.126         172.16.38.127
78        172.16.38.128     172.16.38.129 - 172.16.38.254         172.16.38.255
79        172.16.39.0       172.16.39.1 - 172.16.39.126         172.16.39.127
80        172.16.39.128     172.16.39.129 - 172.16.39.254         172.16.39.255
81        172.16.40.0       172.16.40.1 - 172.16.40.126         172.16.40.127
82        172.16.40.128     172.16.40.129 - 172.16.40.254         172.16.40.255
83        172.16.41.0       172.16.41.1 - 172.16.41.126         172.16.41.127
84        172.16.41.128     172.16.41.129 - 172.16.41.254         172.16.41.255
85        172.16.42.0       172.16.42.1 - 172.16.42.126         172.16.42.127
86        172.16.42.128     172.16.42.129 - 172.16.42.254         172.16.42.255
87        172.16.43.0       172.16.43.1 - 172.16.43.126         172.16.43.127
88        172.16.43.128     172.16.43.129 - 172.16.43.254         172.16.43.255
89        172.16.44.0       172.16.44.1 - 172.16.44.126         172.16.44.127
90        172.16.44.128     172.16.44.129 - 172.16.44.254         172.16.44.255
91        172.16.45.0       172.16.45.1 - 172.16.45.126         172.16.45.127
92        172.16.45.128     172.16.45.129 - 172.16.45.254         172.16.45.255
93        172.16.46.0       172.16.46.1 - 172.16.46.126         172.16.46.127
94        172.16.46.128     172.16.46.129 - 172.16.46.254         172.16.46.255
95        172.16.47.0       172.16.47.1 - 172.16.47.126         172.16.47.127
96        172.16.47.128     172.16.47.129 - 172.16.47.254         172.16.47.255
97        172.16.48.0       172.16.48.1 - 172.16.48.126         172.16.48.127
98        172.16.48.128     172.16.48.129 - 172.16.48.254         172.16.48.255
99        172.16.49.0       172.16.49.1 - 172.16.49.126         172.16.49.127
100       172.16.49.128     172.16.49.129 - 172.16.49.254         172.16.49.255
101       172.16.50.0       172.16.50.1 - 172.16.50.126         172.16.50.127
102       172.16.50.128     172.16.50.129 - 172.16.50.254         172.16.50.255
103       172.16.51.0       172.16.51.1 - 172.16.51.126         172.16.51.127
104       172.16.51.128     172.16.51.129 - 172.16.51.254         172.16.51.255
105       172.16.52.0       172.16.52.1 - 172.16.52.126         172.16.52.127
106       172.16.52.128     172.16.52.129 - 172.16.52.254         172.16.52.255
107       172.16.53.0       172.16.53.1 - 172.16.53.126         172.16.53.127
108       172.16.53.128     172.16.53.129 - 172.16.53.254         172.16.53.255
109       172.16.54.0       172.16.54.1 - 172.16.54.126         172.16.54.127
110       172.16.54.128     172.16.54.129 - 172.16.54.254         172.16.54.255
111       172.16.55.0       172.16.55.1 - 172.16.55.126         172.16.55.127
112       172.16.55.128     172.16.55.129 - 172.16.55.254         172.16.55.255
113       172.16.56.0       172.16.56.1 - 172.16.56.126         172.16.56.127
114       172.16.56.128     172.16.56.129 - 172.16.56.254         172.16.56.255
115       172.16.57.0       172.16.57.1 - 172.16.57.126         172.16.57.127
116       172.16.57.128     172.16.57.129 - 172.16.57.254         172.16.57.255
117       172.16.58.0       172.16.58.1 - 172.16.58.126         172.16.58.127
118       172.16.58.128     172.16.58.129 - 172.16.58.254         172.16.58.255
119       172.16.59.0       172.16.59.1 - 172.16.59.126         172.16.59.127
120       172.16.59.128     172.16.59.129 - 172.16.59.254         172.16.59.255
121       172.16.60.0       172.16.60.1 - 172.16.60.126         172.16.60.127
122       172.16.60.128     172.16.60.129 - 172.16.60.254         172.16.60.255
123       172.16.61.0       172.16.61.1 - 172.16.61.126         172.16.61.127
124       172.16.61.128     172.16.61.129 - 172.16.61.254         172.16.61.255
125       172.16.62.0       172.16.62.1 - 172.16.62.126         172.16.62.127
126       172.16.62.128     172.16.62.129 - 172.16.62.254         172.16.62.255
127       172.16.63.0       172.16.63.1 - 172.16.63.126         172.16.63.127
128       172.16.63.128     172.16.63.129 - 172.16.63.254         172.16.63.255
129       172.16.64.0       172.16.64.1 - 172.16.64.126         172.16.64.127
130       172.16.64.128     172.16.64.129 - 172.16.64.254         172.16.64.255
131       172.16.65.0       172.16.65.1 - 172.16.65.126         172.16.65.127
132       172.16.65.128     172.16.65.129 - 172.16.65.254         172.16.65.255
133       172.16.66.0       172.16.66.1 - 172.16.66.126         172.16.66.127
134       172.16.66.128     172.16.66.129 - 172.16.66.254         172.16.66.255
135       172.16.67.0       172.16.67.1 - 172.16.67.126         172.16.67.127
136       172.16.67.128     172.16.67.129 - 172.16.67.254         172.16.67.255
137       172.16.68.0       172.16.68.1 - 172.16.68.126         172.16.68.127
138       172.16.68.128     172.16.68.129 - 172.16.68.254         172.16.68.255
139       172.16.69.0       172.16.69.1 - 172.16.69.126         172.16.69.127
140       172.16.69.128     172.16.69.129 - 172.16.69.254         172.16.69.255
141       172.16.70.0       172.16.70.1 - 172.16.70.126         172.16.70.127
142       172.16.70.128     172.16.70.129 - 172.16.70.254         172.16.70.255
143       172.16.71.0       172.16.71.1 - 172.16.71.126         172.16.71.127
144       172.16.71.128     172.16.71.129 - 172.16.71.254         172.16.71.255
145       172.16.72.0       172.16.72.1 - 172.16.72.126         172.16.72.127
146       172.16.72.128     172.16.72.129 - 172.16.72.254         172.16.72.255
147       172.16.73.0       172.16.73.1 - 172.16.73.126         172.16.73.127
148       172.16.73.128     172.16.73.129 - 172.16.73.254         172.16.73.255
149       172.16.74.0       172.16.74.1 - 172.16.74.126         172.16.74.127
150       172.16.74.128     172.16.74.129 - 172.16.74.254         172.16.74.255
151       172.16.75.0       172.16.75.1 - 172.16.75.126         172.16.75.127
152       172.16.75.128     172.16.75.129 - 172.16.75.254         172.16.75.255
153       172.16.76.0       172.16.76.1 - 172.16.76.126         172.16.76.127
154       172.16.76.128     172.16.76.129 - 172.16.76.254         172.16.76.255
155       172.16.77.0       172.16.77.1 - 172.16.77.126         172.16.77.127
156       172.16.77.128     172.16.77.129 - 172.16.77.254         172.16.77.255
157       172.16.78.0       172.16.78.1 - 172.16.78.126         172.16.78.127
158       172.16.78.128     172.16.78.129 - 172.16.78.254         172.16.78.255
159       172.16.79.0       172.16.79.1 - 172.16.79.126         172.16.79.127
160       172.16.79.128     172.16.79.129 - 172.16.79.254         172.16.79.255
161       172.16.80.0       172.16.80.1 - 172.16.80.126         172.16.80.127
162       172.16.80.128     172.16.80.129 - 172.16.80.254         172.16.80.255
163       172.16.81.0       172.16.81.1 - 172.16.81.126         172.16.81.127
164       172.16.81.128     172.16.81.129 - 172.16.81.254         172.16.81.255
165       172.16.82.0       172.16.82.1 - 172.16.82.126         172.16.82.127
166       172.16.82.128     172.16.82.129 - 172.16.82.254         172.16.82.255
167       172.16.83.0       172.16.83.1 - 172.16.83.126         172.16.83.127
168       172.16.83.128     172.16.83.129 - 172.16.83.254         172.16.83.255
169       172.16.84.0       172.16.84.1 - 172.16.84.126         172.16.84.127
170       172.16.84.128     172.16.84.129 - 172.16.84.254         172.16.84.255
171       172.16.85.0       172.16.85.1 - 172.16.85.126         172.16.85.127
172       172.16.85.128     172.16.85.129 - 172.16.85.254         172.16.85.255
173       172.16.86.0       172.16.86.1 - 172.16.86.126         172.16.86.127
174       172.16.86.128     172.16.86.129 - 172.16.86.254         172.16.86.255
175       172.16.87.0       172.16.87.1 - 172.16.87.126         172.16.87.127
176       172.16.87.128     172.16.87.129 - 172.16.87.254         172.16.87.255
177       172.16.88.0       172.16.88.1 - 172.16.88.126         172.16.88.127
178       172.16.88.128     172.16.88.129 - 172.16.88.254         172.16.88.255
179       172.16.89.0       172.16.89.1 - 172.16.89.126         172.16.89.127
180       172.16.89.128     172.16.89.129 - 172.16.89.254         172.16.89.255
181       172.16.90.0       172.16.90.1 - 172.16.90.126         172.16.90.127
182       172.16.90.128     172.16.90.129 - 172.16.90.254         172.16.90.255
183       172.16.91.0       172.16.91.1 - 172.16.91.126         172.16.91.127
184       172.16.91.128     172.16.91.129 - 172.16.91.254         172.16.91.255
185       172.16.92.0       172.16.92.1 - 172.16.92.126         172.16.92.127
186       172.16.92.128     172.16.92.129 - 172.16.92.254         172.16.92.255
187       172.16.93.0       172.16.93.1 - 172.16.93.126         172.16.93.127
188       172.16.93.128     172.16.93.129 - 172.16.93.254         172.16.93.255
189       172.16.94.0       172.16.94.1 - 172.16.94.126         172.16.94.127
190       172.16.94.128     172.16.94.129 - 172.16.94.254         172.16.94.255
191       172.16.95.0       172.16.95.1 - 172.16.95.126         172.16.95.127
192       172.16.95.128     172.16.95.129 - 172.16.95.254         172.16.95.255
193       172.16.96.0       172.16.96.1 - 172.16.96.126         172.16.96.127
194       172.16.96.128     172.16.96.129 - 172.16.96.254         172.16.96.255
195       172.16.97.0       172.16.97.1 - 172.16.97.126         172.16.97.127
196       172.16.97.128     172.16.97.129 - 172.16.97.254         172.16.97.255
197       172.16.98.0       172.16.98.1 - 172.16.98.126         172.16.98.127
198       172.16.98.128     172.16.98.129 - 172.16.98.254         172.16.98.255
199       172.16.99.0       172.16.99.1 - 172.16.99.126         172.16.99.127
200       172.16.99.128     172.16.99.129 - 172.16.99.254         172.16.99.255
201       172.16.100.0      172.16.100.1 - 172.16.100.126        172.16.100.127
202       172.16.100.128    172.16.100.129 - 172.16.100.254        172.16.100.255
203       172.16.101.0      172.16.101.1 - 172.16.101.126        172.16.101.127
204       172.16.101.128    172.16.101.129 - 172.16.101.254        172.16.101.255
205       172.16.102.0      172.16.102.1 - 172.16.102.126        172.16.102.127
206       172.16.102.128    172.16.102.129 - 172.16.102.254        172.16.102.255
207       172.16.103.0      172.16.103.1 - 172.16.103.126        172.16.103.127
208       172.16.103.128    172.16.103.129 - 172.16.103.254        172.16.103.255
209       172.16.104.0      172.16.104.1 - 172.16.104.126        172.16.104.127
210       172.16.104.128    172.16.104.129 - 172.16.104.254        172.16.104.255
211       172.16.105.0      172.16.105.1 - 172.16.105.126        172.16.105.127
212       172.16.105.128    172.16.105.129 - 172.16.105.254        172.16.105.255
213       172.16.106.0      172.16.106.1 - 172.16.106.126        172.16.106.127
214       172.16.106.128    172.16.106.129 - 172.16.106.254        172.16.106.255
215       172.16.107.0      172.16.107.1 - 172.16.107.126        172.16.107.127
216       172.16.107.128    172.16.107.129 - 172.16.107.254        172.16.107.255
217       172.16.108.0      172.16.108.1 - 172.16.108.126        172.16.108.127
218       172.16.108.128    172.16.108.129 - 172.16.108.254        172.16.108.255
219       172.16.109.0      172.16.109.1 - 172.16.109.126        172.16.109.127
220       172.16.109.128    172.16.109.129 - 172.16.109.254        172.16.109.255
221       172.16.110.0      172.16.110.1 - 172.16.110.126        172.16.110.127
222       172.16.110.128    172.16.110.129 - 172.16.110.254        172.16.110.255
223       172.16.111.0      172.16.111.1 - 172.16.111.126        172.16.111.127
224       172.16.111.128    172.16.111.129 - 172.16.111.254        172.16.111.255
225       172.16.112.0      172.16.112.1 - 172.16.112.126        172.16.112.127
226       172.16.112.128    172.16.112.129 - 172.16.112.254        172.16.112.255
227       172.16.113.0      172.16.113.1 - 172.16.113.126        172.16.113.127
228       172.16.113.128    172.16.113.129 - 172.16.113.254        172.16.113.255
229       172.16.114.0      172.16.114.1 - 172.16.114.126        172.16.114.127
230       172.16.114.128    172.16.114.129 - 172.16.114.254        172.16.114.255
231       172.16.115.0      172.16.115.1 - 172.16.115.126        172.16.115.127
232       172.16.115.128    172.16.115.129 - 172.16.115.254        172.16.115.255
233       172.16.116.0      172.16.116.1 - 172.16.116.126        172.16.116.127
234       172.16.116.128    172.16.116.129 - 172.16.116.254        172.16.116.255
235       172.16.117.0      172.16.117.1 - 172.16.117.126        172.16.117.127
236       172.16.117.128    172.16.117.129 - 172.16.117.254        172.16.117.255
237       172.16.118.0      172.16.118.1 - 172.16.118.126        172.16.118.127
238       172.16.118.128    172.16.118.129 - 172.16.118.254        172.16.118.255
239       172.16.119.0      172.16.119.1 - 172.16.119.126        172.16.119.127
240       172.16.119.128    172.16.119.129 - 172.16.119.254        172.16.119.255
241       172.16.120.0      172.16.120.1 - 172.16.120.126        172.16.120.127
242       172.16.120.128    172.16.120.129 - 172.16.120.254        172.16.120.255
243       172.16.121.0      172.16.121.1 - 172.16.121.126        172.16.121.127
244       172.16.121.128    172.16.121.129 - 172.16.121.254        172.16.121.255
245       172.16.122.0      172.16.122.1 - 172.16.122.126        172.16.122.127
246       172.16.122.128    172.16.122.129 - 172.16.122.254        172.16.122.255
247       172.16.123.0      172.16.123.1 - 172.16.123.126        172.16.123.127
248       172.16.123.128    172.16.123.129 - 172.16.123.254        172.16.123.255
249       172.16.124.0      172.16.124.1 - 172.16.124.126        172.16.124.127
250       172.16.124.128    172.16.124.129 - 172.16.124.254        172.16.124.255
251       172.16.125.0      172.16.125.1 - 172.16.125.126        172.16.125.127
252       172.16.125.128    172.16.125.129 - 172.16.125.254        172.16.125.255
253       172.16.126.0      172.16.126.1 - 172.16.126.126        172.16.126.127
254       172.16.126.128    172.16.126.129 - 172.16.126.254        172.16.126.255
255       172.16.127.0      172.16.127.1 - 172.16.127.126        172.16.127.127
256       172.16.127.128    172.16.127.129 - 172.16.127.254        172.16.127.255
257       172.16.128.0      172.16.128.1 - 172.16.128.126        172.16.128.127
258       172.16.128.128    172.16.128.129 - 172.16.128.254        172.16.128.255
259       172.16.129.0      172.16.129.1 - 172.16.129.126        172.16.129.127
260       172.16.129.128    172.16.129.129 - 172.16.129.254        172.16.129.255
261       172.16.130.0      172.16.130.1 - 172.16.130.126        172.16.130.127
262       172.16.130.128    172.16.130.129 - 172.16.130.254        172.16.130.255
263       172.16.131.0      172.16.131.1 - 172.16.131.126        172.16.131.127
264       172.16.131.128    172.16.131.129 - 172.16.131.254        172.16.131.255
265       172.16.132.0      172.16.132.1 - 172.16.132.126        172.16.132.127
266       172.16.132.128    172.16.132.129 - 172.16.132.254        172.16.132.255
267       172.16.133.0      172.16.133.1 - 172.16.133.126        172.16.133.127
268       172.16.133.128    172.16.133.129 - 172.16.133.254        172.16.133.255
269       172.16.134.0      172.16.134.1 - 172.16.134.126        172.16.134.127
270       172.16.134.128    172.16.134.129 - 172.16.134.254        172.16.134.255
271       172.16.135.0      172.16.135.1 - 172.16.135.126        172.16.135.127
272       172.16.135.128    172.16.135.129 - 172.16.135.254        172.16.135.255
273       172.16.136.0      172.16.136.1 - 172.16.136.126        172.16.136.127
274       172.16.136.128    172.16.136.129 - 172.16.136.254        172.16.136.255
275       172.16.137.0      172.16.137.1 - 172.16.137.126        172.16.137.127
276       172.16.137.128    172.16.137.129 - 172.16.137.254        172.16.137.255
277       172.16.138.0      172.16.138.1 - 172.16.138.126        172.16.138.127
278       172.16.138.128    172.16.138.129 - 172.16.138.254        172.16.138.255
279       172.16.139.0      172.16.139.1 - 172.16.139.126        172.16.139.127
280       172.16.139.128    172.16.139.129 - 172.16.139.254        172.16.139.255
281       172.16.140.0      172.16.140.1 - 172.16.140.126        172.16.140.127
282       172.16.140.128    172.16.140.129 - 172.16.140.254        172.16.140.255
283       172.16.141.0      172.16.141.1 - 172.16.141.126        172.16.141.127
284       172.16.141.128    172.16.141.129 - 172.16.141.254        172.16.141.255
285       172.16.142.0      172.16.142.1 - 172.16.142.126        172.16.142.127
286       172.16.142.128    172.16.142.129 - 172.16.142.254        172.16.142.255
287       172.16.143.0      172.16.143.1 - 172.16.143.126        172.16.143.127
288       172.16.143.128    172.16.143.129 - 172.16.143.254        172.16.143.255
289       172.16.144.0      172.16.144.1 - 172.16.144.126        172.16.144.127
290       172.16.144.128    172.16.144.129 - 172.16.144.254        172.16.144.255
291       172.16.145.0      172.16.145.1 - 172.16.145.126        172.16.145.127
292       172.16.145.128    172.16.145.129 - 172.16.145.254        172.16.145.255
293       172.16.146.0      172.16.146.1 - 172.16.146.126        172.16.146.127
294       172.16.146.128    172.16.146.129 - 172.16.146.254        172.16.146.255
295       172.16.147.0      172.16.147.1 - 172.16.147.126        172.16.147.127
296       172.16.147.128    172.16.147.129 - 172.16.147.254        172.16.147.255
297       172.16.148.0      172.16.148.1 - 172.16.148.126        172.16.148.127
298       172.16.148.128    172.16.148.129 - 172.16.148.254        172.16.148.255
299       172.16.149.0      172.16.149.1 - 172.16.149.126        172.16.149.127
300       172.16.149.128    172.16.149.129 - 172.16.149.254        172.16.149.255
301       172.16.150.0      172.16.150.1 - 172.16.150.126        172.16.150.127
302       172.16.150.128    172.16.150.129 - 172.16.150.254        172.16.150.255
303       172.16.151.0      172.16.151.1 - 172.16.151.126        172.16.151.127
304       172.16.151.128    172.16.151.129 - 172.16.151.254        172.16.151.255
305       172.16.152.0      172.16.152.1 - 172.16.152.126        172.16.152.127
306       172.16.152.128    172.16.152.129 - 172.16.152.254        172.16.152.255
307       172.16.153.0      172.16.153.1 - 172.16.153.126        172.16.153.127
308       172.16.153.128    172.16.153.129 - 172.16.153.254        172.16.153.255
309       172.16.154.0      172.16.154.1 - 172.16.154.126        172.16.154.127
310       172.16.154.128    172.16.154.129 - 172.16.154.254        172.16.154.255
311       172.16.155.0      172.16.155.1 - 172.16.155.126        172.16.155.127
312       172.16.155.128    172.16.155.129 - 172.16.155.254        172.16.155.255
313       172.16.156.0      172.16.156.1 - 172.16.156.126        172.16.156.127
314       172.16.156.128    172.16.156.129 - 172.16.156.254        172.16.156.255
315       172.16.157.0      172.16.157.1 - 172.16.157.126        172.16.157.127
316       172.16.157.128    172.16.157.129 - 172.16.157.254        172.16.157.255
317       172.16.158.0      172.16.158.1 - 172.16.158.126        172.16.158.127
318       172.16.158.128    172.16.158.129 - 172.16.158.254        172.16.158.255
319       172.16.159.0      172.16.159.1 - 172.16.159.126        172.16.159.127
320       172.16.159.128    172.16.159.129 - 172.16.159.254        172.16.159.255
321       172.16.160.0      172.16.160.1 - 172.16.160.126        172.16.160.127
322       172.16.160.128    172.16.160.129 - 172.16.160.254        172.16.160.255
323       172.16.161.0      172.16.161.1 - 172.16.161.126        172.16.161.127
324       172.16.161.128    172.16.161.129 - 172.16.161.254        172.16.161.255
325       172.16.162.0      172.16.162.1 - 172.16.162.126        172.16.162.127
326       172.16.162.128    172.16.162.129 - 172.16.162.254        172.16.162.255
327       172.16.163.0      172.16.163.1 - 172.16.163.126        172.16.163.127
328       172.16.163.128    172.16.163.129 - 172.16.163.254        172.16.163.255
329       172.16.164.0      172.16.164.1 - 172.16.164.126        172.16.164.127
330       172.16.164.128    172.16.164.129 - 172.16.164.254        172.16.164.255
331       172.16.165.0      172.16.165.1 - 172.16.165.126        172.16.165.127
332       172.16.165.128    172.16.165.129 - 172.16.165.254        172.16.165.255
333       172.16.166.0      172.16.166.1 - 172.16.166.126        172.16.166.127
334       172.16.166.128    172.16.166.129 - 172.16.166.254        172.16.166.255
335       172.16.167.0      172.16.167.1 - 172.16.167.126        172.16.167.127
336       172.16.167.128    172.16.167.129 - 172.16.167.254        172.16.167.255
337       172.16.168.0      172.16.168.1 - 172.16.168.126        172.16.168.127
338       172.16.168.128    172.16.168.129 - 172.16.168.254        172.16.168.255
339       172.16.169.0      172.16.169.1 - 172.16.169.126        172.16.169.127
340       172.16.169.128    172.16.169.129 - 172.16.169.254        172.16.169.255
341       172.16.170.0      172.16.170.1 - 172.16.170.126        172.16.170.127
342       172.16.170.128    172.16.170.129 - 172.16.170.254        172.16.170.255
343       172.16.171.0      172.16.171.1 - 172.16.171.126        172.16.171.127
344       172.16.171.128    172.16.171.129 - 172.16.171.254        172.16.171.255
345       172.16.172.0      172.16.172.1 - 172.16.172.126        172.16.172.127
346       172.16.172.128    172.16.172.129 - 172.16.172.254        172.16.172.255
347       172.16.173.0      172.16.173.1 - 172.16.173.126        172.16.173.127
348       172.16.173.128    172.16.173.129 - 172.16.173.254        172.16.173.255
349       172.16.174.0      172.16.174.1 - 172.16.174.126        172.16.174.127
350       172.16.174.128    172.16.174.129 - 172.16.174.254        172.16.174.255
351       172.16.175.0      172.16.175.1 - 172.16.175.126        172.16.175.127
352       172.16.175.128    172.16.175.129 - 172.16.175.254        172.16.175.255
353       172.16.176.0      172.16.176.1 - 172.16.176.126        172.16.176.127
354       172.16.176.128    172.16.176.129 - 172.16.176.254        172.16.176.255
355       172.16.177.0      172.16.177.1 - 172.16.177.126        172.16.177.127
356       172.16.177.128    172.16.177.129 - 172.16.177.254        172.16.177.255
357       172.16.178.0      172.16.178.1 - 172.16.178.126        172.16.178.127
358       172.16.178.128    172.16.178.129 - 172.16.178.254        172.16.178.255
359       172.16.179.0      172.16.179.1 - 172.16.179.126        172.16.179.127
360       172.16.179.128    172.16.179.129 - 172.16.179.254        172.16.179.255
361       172.16.180.0      172.16.180.1 - 172.16.180.126        172.16.180.127
362       172.16.180.128    172.16.180.129 - 172.16.180.254        172.16.180.255
363       172.16.181.0      172.16.181.1 - 172.16.181.126        172.16.181.127
364       172.16.181.128    172.16.181.129 - 172.16.181.254        172.16.181.255
365       172.16.182.0      172.16.182.1 - 172.16.182.126        172.16.182.127
366       172.16.182.128    172.16.182.129 - 172.16.182.254        172.16.182.255
367       172.16.183.0      172.16.183.1 - 172.16.183.126        172.16.183.127
368       172.16.183.128    172.16.183.129 - 172.16.183.254        172.16.183.255
369       172.16.184.0      172.16.184.1 - 172.16.184.126        172.16.184.127
370       172.16.184.128    172.16.184.129 - 172.16.184.254        172.16.184.255
371       172.16.185.0      172.16.185.1 - 172.16.185.126        172.16.185.127
372       172.16.185.128    172.16.185.129 - 172.16.185.254        172.16.185.255
373       172.16.186.0      172.16.186.1 - 172.16.186.126        172.16.186.127
374       172.16.186.128    172.16.186.129 - 172.16.186.254        172.16.186.255
375       172.16.187.0      172.16.187.1 - 172.16.187.126        172.16.187.127
376       172.16.187.128    172.16.187.129 - 172.16.187.254        172.16.187.255
377       172.16.188.0      172.16.188.1 - 172.16.188.126        172.16.188.127
378       172.16.188.128    172.16.188.129 - 172.16.188.254        172.16.188.255
379       172.16.189.0      172.16.189.1 - 172.16.189.126        172.16.189.127
380       172.16.189.128    172.16.189.129 - 172.16.189.254        172.16.189.255
381       172.16.190.0      172.16.190.1 - 172.16.190.126        172.16.190.127
382       172.16.190.128    172.16.190.129 - 172.16.190.254        172.16.190.255
383       172.16.191.0      172.16.191.1 - 172.16.191.126        172.16.191.127
384       172.16.191.128    172.16.191.129 - 172.16.191.254        172.16.191.255
385       172.16.192.0      172.16.192.1 - 172.16.192.126        172.16.192.127
